TeamName,ShortName,AlternativeName,Stadium,FantasyCode
Default,Default,Error,,
Arsenal,ARS,,Emirates Stadium,3
Aston Villa,ASV,,Villa Park,
Barnsley,,,Oakwell,
Birmingham City,,,St Andrews,
Blackburn Rovers,,,Ewood Park,
Blackpool,,,Bloomfield Road,
Bolton Wanderers,,,Macron Stadium,
AFC Bournemouth,BOU,,Vitality Stadium,
Bradford City,,,Valley Parade,
Burnley,BUR,,Turf Moor,90
Cardiff,,,Cardiff City Stadium,
Charlton Athletic,,,The Valley,
Chelsea,CHE,,Stamford Bridge,8
Coventry City,,,Highfield Road,
Crystal Palace,CRY,,Selhurst Park,31
Derby County,,,iPro Stadium,
Everton,EVE,,Goodison Park,11
Fulham,,,Craven Cottage,
Hull City,HUL,,KCOM Stadium,
Ipswich Town,,,Portman Road,
Leeds United,,,Elland Road,
Leicester City,LEI,,King Power Stadium,
Liverpool,LIV,,Anfield,14
Manchester City,MCI,,Etihad Stadium,
Manchester United,MUN,,Old Trafford,
Middlesbrough,MID,,Riverside Stadium,25
Newcastle United,,,St. James' Park,
Norwich City,,,Carrow Road,
Nottingham Forest,,,City Ground,
Oldham Athletic,,,Boundary Park,
Portsmouth,,,Fratton Park,
Queens Park Rangers,QPR,,Loftus Road,
Reading,,,Madejski Stadium,
Sheff Utd,,,Bramall Lane,
Sheff Wed,,,Hillsborough,
Southampton,SOU,,St. Mary's Stadium,20
Stoke City,STK,,bet365 Stadium,
Sunderland,SUN,,Stadium of Light,56
Swansea City,SWA,,Liberty Stadium,
Swindon Town,,,County Ground,
Tottenham Hotspur,TOT,,White Hart Lane,
Watford,WAT,,Vicarage Road,57
West Bromwich Albion,WBA,,The Hawthorns,
West Ham United,WHU,,London Stadium,
Wigan Athletic,WIG,,DW Stadium,
Wimbledon,,,Selhurst Park,
Wolverhampton Wanderers,WOL,,Molineux Stadium,
